[09:42:30.849843] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:3548374 Ay:-3352556 Az:164000906 Gx:-67472 Gy:523963 Gz:-228467 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5154058,-79.6839923 σLat:1.9474m σLon:1.6541m SVs:16/14 SOL_COMPUTED SINGLE
[09:42:32.910306] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2656317 Ay:-2665690 Az:164508905 Gx:80972 Gy:699011 Gz:196815 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5154079,-79.6839902 σLat:1.8279m σLon:1.5698m SVs:16/14 SOL_COMPUTED SINGLE
[09:42:34.851482] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:3533434 Ay:-3571346 Az:164019106 Gx:124080 Gy:106250 Gz:32538 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153901,-79.6839973 σLat:2.1765m σLon:1.6994m SVs:14/12 SOL_COMPUTED SINGLE
[09:42:36.848354] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:3089353 Ay:-3458614 Az:164457552 Gx:81063 Gy:-33481 Gz:127207 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153648,-79.6839673 σLat:2.7522m σLon:2.2246m SVs:13/11 SOL_COMPUTED SINGLE
[09:42:38.776042] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:3052380 Ay:-4032062 Az:164334642 Gx:122982 Gy:-182573 Gz:64784 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153619,-79.6839672 σLat:2.7364m σLon:2.2230m SVs:14/12 SOL_COMPUTED SINGLE
[09:42:40.841582] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:3749370 Ay:-4544845 Az:164128873 Gx:-66917 Gy:1870 Gz:-48893 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153145,-79.6839621 σLat:2.5034m σLon:2.2078m SVs:15/13 SOL_COMPUTED SINGLE
[09:42:42.697426] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2819586 Ay:-4073149 Az:164272633 Gx:11853 Gy:-86774 Gz:-203555 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153658,-79.6839678 σLat:2.7469m σLon:2.2222m SVs:13/11 SOL_COMPUTED SINGLE
[09:42:44.852810] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:2483537 Ay:-2651081 Az:165033688 Gx:-174438 Gy:228753 Gz:-13899 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5152912,-79.6838665 σLat:2.0143m σLon:1.8821m SVs:15/13 SOL_COMPUTED SINGLE
[09:42:46.907632] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:3068596 Ay:-3297681 Az:164189380 Gx:-414 Gy:97334 Gz:-80745 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153741,-79.6839690 σLat:2.3814m σLon:2.2175m SVs:15/12 SOL_COMPUTED SINGLE
[09:42:48.803667] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:3368794 Ay:-3674703 Az:164042795 Gx:179849 Gy:-20209 Gz:-44943 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153769,-79.6839695 σLat:2.3923m σLon:2.2299m SVs:15/12 SOL_COMPUTED SINGLE
