[09:33:11.824998] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-1061337 Ay:-2334874 Az:164464138 Gx:12039 Gy:233718 Gz:24077 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153734,-79.6839893 σLat:1.8254m σLon:1.8379m SVs:16/14 SOL_COMPUTED SINGLE
[09:33:13.716816] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-2196621 Ay:-1998662 Az:164913690 Gx:143608 Gy:475421 Gz:-11006 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153827,-79.6840035 σLat:1.8028m σLon:1.8071m SVs:16/14 SOL_COMPUTED SINGLE
[09:33:15.711490] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-1098426 Ay:-2522614 Az:164223650 Gx:61538 Gy:91289 Gz:12657 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153988,-79.6839940 σLat:1.8083m σLon:1.8428m SVs:16/14 SOL_COMPUTED SINGLE
[09:33:17.693728] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-704987 Ay:-2805626 Az:164271191 Gx:95112 Gy:-61145 Gz:-88549 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153921,-79.6840126 σLat:1.9406m σLon:2.2614m SVs:15/13 SOL_COMPUTED SINGLE
[09:33:19.453937] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-443562 Ay:-3362839 Az:164223172 Gx:51367 Gy:-19880 Gz:24374 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5154011,-79.6839997 σLat:1.9538m σLon:2.3064m SVs:15/13 SOL_COMPUTED SINGLE
[09:33:21.625490] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-94833 Ay:-3089311 Az:164027675 Gx:1800 Gy:-41095 Gz:-28797 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5154047,-79.6839955 σLat:1.9534m σLon:2.2921m SVs:16/14 SOL_COMPUTED SINGLE
[09:33:23.437654] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-677384 Ay:-2253113 Az:164149050 Gx:-30933 Gy:64736 Gz:-8080 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153943,-79.6840050 σLat:1.8309m σLon:1.9001m SVs:16/14 SOL_COMPUTED SINGLE
[09:33:25.410792] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-520255 Ay:-2760983 Az:164384076 Gx:-34799 Gy:122742 Gz:-67854 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5154089,-79.6839703 σLat:1.8381m σLon:1.9743m SVs:15/13 SOL_COMPUTED SINGLE
[09:33:27.450834] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-1062160 Ay:-3073949 Az:164231165 Gx:-27694 Gy:156624 Gz:-27204 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5154097,-79.6839770 σLat:1.8337m σLon:1.9731m SVs:15/13 SOL_COMPUTED SINGLE
[09:33:29.367053] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-465612 Ay:-3522099 Az:164064343 Gx:-36283 Gy:-515329 Gz:-73984 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5154066,-79.6839786 σLat:1.8331m σLon:1.9204m SVs:15/13 SOL_COMPUTED SINGLE
[09:33:31.380706] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-981240 Ay:-1225131 Az:164425707 Gx:-3655 Gy:639926 Gz:81506 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153988,-79.6839797 σLat:1.8309m σLon:1.9098m SVs:15/13 SOL_COMPUTED SINGLE
[09:33:33.356804] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-481414 Ay:-1396342 Az:164177966 Gx:232320 Gy:-294857 Gz:1027 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5154016,-79.6839820 σLat:1.8380m σLon:1.9327m SVs:15/13 SOL_COMPUTED SINGLE
[09:33:35.305041] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-402322 Ay:-2443205 Az:164061044 Gx:60291 Gy:347962 Gz:-5105 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5154086,-79.6839913 σLat:1.7744m σLon:1.8634m SVs:15/13 SOL_COMPUTED SINGLE
[09:33:37.177549] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-919756 Ay:-3196924 Az:164217398 Gx:-91390 Gy:37735 Gz:-13350 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5154055,-79.6839888 σLat:1.8080m σLon:1.9118m SVs:15/13 SOL_COMPUTED SINGLE
[09:33:38.908225] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU Ax:-703400 Ay:-2920555 Az:164245620 Gx:6533 Gy:207030 Gz:-8736 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5154091,-79.6839846 σLat:1.8271m σLon:1.9529m SVs:15/13 SOL_COMPUTED SINGLE
