[11:05:26.029583] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0225 Ay:-0.2278 Az:+9.8469 Gyro(°/s) Gx:-0.0142 Gy:+0.0567 Gz:-0.0039 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153508,-79.6838190 σLat:1.3619m σLon:1.2483m SVs:18/18 SOL_COMPUTED SINGLE
[11:05:27.031187] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0196 Ay:-0.2247 Az:+9.8334 Gyro(°/s) Gx:+0.0082 Gy:-0.0053 Gz:-0.0072 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153503,-79.6838198 σLat:1.3394m σLon:1.2409m SVs:18/18 SOL_COMPUTED SINGLE
[11:05:28.027974] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0321 Ay:-0.2182 Az:+9.8426 Gyro(°/s) Gx:+0.0171 Gy:-0.0052 Gz:-0.0093 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153482,-79.6838222 σLat:1.3476m σLon:1.2406m SVs:18/18 SOL_COMPUTED SINGLE
[11:05:29.034664] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0160 Ay:-0.2150 Az:+9.8326 Gyro(°/s) Gx:+0.0153 Gy:+0.0149 Gz:-0.0051 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153521,-79.6838206 σLat:1.4322m σLon:1.2599m SVs:17/17 SOL_COMPUTED SINGLE
[11:05:30.037374] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0687 Ay:-0.1699 Az:+9.8597 Gyro(°/s) Gx:+0.0148 Gy:-0.0336 Gz:-0.0010 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153520,-79.6838216 σLat:1.4301m σLon:1.2594m SVs:17/17 SOL_COMPUTED SINGLE
[11:05:31.048391] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0272 Ay:-0.2082 Az:+9.8362 Gyro(°/s) Gx:+0.0114 Gy:+0.0115 Gz:-0.0206 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153521,-79.6838227 σLat:1.4314m σLon:1.2634m SVs:17/17 SOL_COMPUTED SINGLE
[11:05:32.025092] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0267 Ay:-0.2309 Az:+9.8393 Gyro(°/s) Gx:+0.0279 Gy:-0.0141 Gz:-0.0001 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153520,-79.6838237 σLat:1.4301m σLon:1.2592m SVs:17/17 SOL_COMPUTED SINGLE
[11:05:33.024385] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:+0.0328 Ay:-0.2507 Az:+9.8509 Gyro(°/s) Gx:-0.0342 Gy:+0.1150 Gz:-0.0075 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153490,-79.6838264 σLat:1.3832m σLon:1.2498m SVs:18/18 SOL_COMPUTED SINGLE
[11:05:34.028514] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:+0.0133 Ay:-0.2343 Az:+9.8262 Gyro(°/s) Gx:+0.0484 Gy:-0.0925 Gz:-0.0082 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153520,-79.6838253 σLat:1.4314m σLon:1.2627m SVs:17/17 SOL_COMPUTED SINGLE
[11:05:35.036453] INACTIVE                       | VehAccel(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  VehGyro(°/s) X:+0.0000 Y:+0.0000 Z:+0.0000 | RawIMU(m/s²) Ax:-0.0625 Ay:-0.2379 Az:+9.8487 Gyro(°/s) Gx:-0.0081 Gy:-0.0107 Gz:+0.0024 | Roll:—°(σ—) Pitch:—°(σ—) Hdg:—°(σ—) | Vel N:— E:— U:— 2D:0.000 m/s | INS —,— H:—m | GNSS 43.5153437,-79.6838312 σLat:1.3627m σLon:1.2475m SVs:18/18 SOL_COMPUTED SINGLE
