# Session started 2026-05-22T16:23:33.483481
# [UTC] Fusion Fix | Accel(m/s²) X Y Z  Gyro(°/s) X Y Z | Veh(m/s²) X Y Z  Hdg(°) | Spd(m/s) VelN VelE VelD | Lat Lon | hAcc vAcc | HDOP VDOP PDOP | NAV-ATT Roll Pitch Hdg
[20:24:38.720000] Initializing Fix:3D | Accel(m/s²) X:-0.1450 Y:+0.1603 Z:+9.9667  Gyro(°/s) X:-0.2042 Y:+0.0050 Z:-0.0962 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.009m/s VN:-0.008 VE:-0.002 VD:-0.088 | Lat:43.515355 Lon:-79.683995 | hAcc:0.91m vAcc:1.181m | HDOP:0.82 VDOP:1.09 PDOP:1.37 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:39.740000] Initializing Fix:3D | Accel(m/s²) X:-0.1418 Y:+0.1683 Z:+9.9615  Gyro(°/s) X:-0.1936 Y:+0.0077 Z:-0.0942 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.029m/s VN:+0.025 VE:-0.015 VD:-0.086 | Lat:43.515356 Lon:-79.683996 | hAcc:0.929m vAcc:1.197m | HDOP:0.71 VDOP:1.01 PDOP:1.23 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:40.730000] Initializing Fix:3D | Accel(m/s²) X:-0.1418 Y:+0.1683 Z:+9.9659  Gyro(°/s) X:-0.1871 Y:-0.0025 Z:-0.0891 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.018m/s VN:+0.016 VE:+0.008 VD:-0.088 | Lat:43.515358 Lon:-79.683997 | hAcc:0.952m vAcc:1.222m | HDOP:0.71 VDOP:1.01 PDOP:1.23 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:41.720000] Initializing Fix:3D | Accel(m/s²) X:-0.1448 Y:+0.1743 Z:+9.9657  Gyro(°/s) X:-0.2113 Y:-0.0026 Z:-0.0960 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.035m/s VN:+0.035 VE:-0.004 VD:-0.076 | Lat:43.515360 Lon:-79.683998 | hAcc:0.977m vAcc:1.249m | HDOP:0.71 VDOP:1.01 PDOP:1.23 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:42.750000] Initializing Fix:3D | Accel(m/s²) X:-0.1359 Y:+0.1689 Z:+9.9591  Gyro(°/s) X:-0.1814 Y:+0.0056 Z:-0.0751 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.046m/s VN:+0.021 VE:-0.040 VD:-0.066 | Lat:43.515362 Lon:-79.683997 | hAcc:0.997m vAcc:1.269m | HDOP:0.75 VDOP:1.05 PDOP:1.29 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:43.700000] Initializing Fix:3D | Accel(m/s²) X:-0.1414 Y:+0.1774 Z:+9.9634  Gyro(°/s) X:-0.1947 Y:+0.0103 Z:-0.0879 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.021m/s VN:-0.017 VE:+0.013 VD:-0.051 | Lat:43.515366 Lon:-79.683997 | hAcc:0.989m vAcc:1.272m | HDOP:0.91 VDOP:1.2 PDOP:1.51 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:44.730000] Initializing Fix:3D | Accel(m/s²) X:-0.1369 Y:+0.1572 Z:+9.9583  Gyro(°/s) X:-0.2192 Y:+0.0077 Z:-0.0817 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.020m/s VN:+0.020 VE:+0.002 VD:-0.032 | Lat:43.515368 Lon:-79.683999 | hAcc:0.987m vAcc:1.288m | HDOP:0.91 VDOP:1.2 PDOP:1.51 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:45.750000] Initializing Fix:3D | Accel(m/s²) X:-0.1430 Y:+0.1725 Z:+9.9667  Gyro(°/s) X:-0.2073 Y:+0.0010 Z:-0.0859 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.030m/s VN:+0.017 VE:+0.025 VD:+0.000 | Lat:43.515369 Lon:-79.683999 | hAcc:0.979m vAcc:1.296m | HDOP:0.78 VDOP:1.09 PDOP:1.34 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:46.740000] Initializing Fix:3D | Accel(m/s²) X:-0.1468 Y:+0.1692 Z:+9.9562  Gyro(°/s) X:-0.1920 Y:+0.0137 Z:-0.0864 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.041m/s VN:+0.041 VE:+0.000 VD:+0.014 | Lat:43.515369 Lon:-79.683999 | hAcc:0.983m vAcc:1.313m | HDOP:0.78 VDOP:1.09 PDOP:1.34 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:47.730000] Initializing Fix:3D | Accel(m/s²) X:-0.1470 Y:+0.1618 Z:+9.9634  Gyro(°/s) X:-0.2074 Y:-0.0020 Z:-0.0947 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.018m/s VN:-0.015 VE:+0.011 VD:+0.019 | Lat:43.515369 Lon:-79.683998 | hAcc:0.993m vAcc:1.338m | HDOP:0.78 VDOP:1.09 PDOP:1.34 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:48.750000] Initializing Fix:3D | Accel(m/s²) X:-0.1369 Y:+0.1655 Z:+9.9653  Gyro(°/s) X:-0.1320 Y:+0.0187 Z:-0.0887 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.053m/s VN:+0.051 VE:+0.016 VD:+0.035 | Lat:43.515371 Lon:-79.683998 | hAcc:1.009m vAcc:1.369m | HDOP:0.96 VDOP:1.29 PDOP:1.61 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:49.740000] Initializing Fix:3D | Accel(m/s²) X:-0.1498 Y:+0.1674 Z:+9.9572  Gyro(°/s) X:-0.1696 Y:+0.0260 Z:-0.0967 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.023m/s VN:+0.023 VE:-0.002 VD:+0.058 | Lat:43.515373 Lon:-79.683997 | hAcc:1.031m vAcc:1.404m | HDOP:0.99 VDOP:1.37 PDOP:1.69 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:50.770000] Initializing Fix:3D | Accel(m/s²) X:-0.1489 Y:+0.1756 Z:+9.9628  Gyro(°/s) X:-0.1941 Y:+0.0009 Z:-0.0821 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.037m/s VN:+0.023 VE:-0.028 VD:+0.071 | Lat:43.515375 Lon:-79.683997 | hAcc:1.056m vAcc:1.442m | HDOP:1.05 VDOP:1.47 PDOP:1.8 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:51.760000] Initializing Fix:3D | Accel(m/s²) X:-0.1496 Y:+0.1743 Z:+9.9627  Gyro(°/s) X:-0.2039 Y:+0.0075 Z:-0.0842 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.045m/s VN:+0.037 VE:+0.026 VD:+0.089 | Lat:43.515378 Lon:-79.683997 | hAcc:1.081m vAcc:1.481m | HDOP:1.04 VDOP:1.38 PDOP:1.73 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:52.750000] Initializing Fix:3D | Accel(m/s²) X:-0.1455 Y:+0.1735 Z:+9.9599  Gyro(°/s) X:-0.2102 Y:+0.0113 Z:-0.0775 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.041m/s VN:+0.025 VE:+0.032 VD:+0.091 | Lat:43.515380 Lon:-79.683996 | hAcc:1.105m vAcc:1.518m | HDOP:1.04 VDOP:1.38 PDOP:1.73 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:53.770000] Initializing Fix:3D | Accel(m/s²) X:-0.1476 Y:+0.1707 Z:+9.9600  Gyro(°/s) X:-0.1990 Y:+0.0130 Z:-0.0971 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.025m/s VN:-0.021 VE:+0.014 VD:+0.096 | Lat:43.515382 Lon:-79.683997 | hAcc:1.127m vAcc:1.557m | HDOP:1.04 VDOP:1.38 PDOP:1.73 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:54.760000] Initializing Fix:3D | Accel(m/s²) X:-0.1454 Y:+0.1707 Z:+9.9635  Gyro(°/s) X:-0.2095 Y:-0.0058 Z:-0.0881 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.073m/s VN:+0.067 VE:+0.030 VD:+0.105 | Lat:43.515385 Lon:-79.683997 | hAcc:1.149m vAcc:1.595m | HDOP:1.04 VDOP:1.38 PDOP:1.73 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:55.750000] Initializing Fix:3D | Accel(m/s²) X:-0.1499 Y:+0.1732 Z:+9.9629  Gyro(°/s) X:-0.1960 Y:-0.0011 Z:-0.0772 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.020m/s VN:+0.014 VE:+0.014 VD:+0.118 | Lat:43.515388 Lon:-79.683998 | hAcc:1.173m vAcc:1.637m | HDOP:1.06 VDOP:1.59 PDOP:1.91 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:56.770000] Initializing Fix:3D | Accel(m/s²) X:-0.1467 Y:+0.1748 Z:+9.9646  Gyro(°/s) X:-0.2080 Y:+0.0150 Z:-0.0866 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.027m/s VN:+0.008 VE:+0.026 VD:+0.110 | Lat:43.515390 Lon:-79.683999 | hAcc:1.199m vAcc:1.679m | HDOP:1.06 VDOP:1.59 PDOP:1.91 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:57.760000] Initializing Fix:3D | Accel(m/s²) X:-0.1460 Y:+0.1677 Z:+9.9612  Gyro(°/s) X:-0.2028 Y:+0.0090 Z:-0.0848 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.041m/s VN:+0.020 VE:-0.036 VD:+0.101 | Lat:43.515392 Lon:-79.684001 | hAcc:1.219m vAcc:1.715m | HDOP:1.06 VDOP:1.59 PDOP:1.91 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:58.720000] Initializing Fix:3D | Accel(m/s²) X:-0.1455 Y:+0.1722 Z:+9.9632  Gyro(°/s) X:-0.2087 Y:+0.0085 Z:-0.0980 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.029m/s VN:-0.022 VE:+0.019 VD:+0.085 | Lat:43.515394 Lon:-79.684003 | hAcc:1.238m vAcc:1.753m | HDOP:1.06 VDOP:1.59 PDOP:1.91 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:24:59.780000] Initializing Fix:3D | Accel(m/s²) X:-0.1511 Y:+0.1668 Z:+9.9585  Gyro(°/s) X:-0.1818 Y:+0.0068 Z:-0.0927 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.046m/s VN:+0.045 VE:+0.012 VD:+0.104 | Lat:43.515397 Lon:-79.684005 | hAcc:1.252m vAcc:1.785m | HDOP:1.06 VDOP:1.59 PDOP:1.91 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:25:00.770000] Initializing Fix:3D | Accel(m/s²) X:-0.1540 Y:+0.1792 Z:+9.9657  Gyro(°/s) X:-0.1974 Y:+0.0124 Z:-0.0879 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.041m/s VN:+0.016 VE:+0.037 VD:+0.086 | Lat:43.515401 Lon:-79.684006 | hAcc:1.259m vAcc:1.813m | HDOP:1.06 VDOP:1.59 PDOP:1.91 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:25:01.790000] Initializing Fix:3D | Accel(m/s²) X:-0.1464 Y:+0.1701 Z:+9.9626  Gyro(°/s) X:-0.1952 Y:+0.0166 Z:-0.0856 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.058m/s VN:+0.056 VE:+0.012 VD:+0.090 | Lat:43.515403 Lon:-79.684008 | hAcc:1.27m vAcc:1.843m | HDOP:1.17 VDOP:1.7 PDOP:2.06 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:25:02.780000] Initializing Fix:3D | Accel(m/s²) X:-0.1476 Y:+0.1751 Z:+9.9624  Gyro(°/s) X:-0.1916 Y:+0.0065 Z:-0.0790 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.074m/s VN:+0.072 VE:+0.016 VD:+0.078 | Lat:43.515403 Lon:-79.684010 | hAcc:1.286m vAcc:1.874m | HDOP:1.14 VDOP:1.68 PDOP:2.03 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:25:03.770000] Initializing Fix:3D | Accel(m/s²) X:-0.1470 Y:+0.1711 Z:+9.9600  Gyro(°/s) X:-0.1919 Y:+0.0116 Z:-0.0957 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.055m/s VN:+0.052 VE:+0.018 VD:+0.070 | Lat:43.515404 Lon:-79.684013 | hAcc:1.304m vAcc:1.907m | HDOP:1.17 VDOP:1.7 PDOP:2.06 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:25:04.790000] Initializing Fix:3D | Accel(m/s²) X:-0.1481 Y:+0.1749 Z:+9.9645  Gyro(°/s) X:-0.2035 Y:+0.0002 Z:-0.0917 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.036m/s VN:-0.027 VE:+0.025 VD:+0.047 | Lat:43.515403 Lon:-79.684015 | hAcc:1.317m vAcc:1.934m | HDOP:0.97 VDOP:1.41 PDOP:1.71 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:25:05.780000] Initializing Fix:3D | Accel(m/s²) X:-0.1497 Y:+0.1717 Z:+9.9626  Gyro(°/s) X:-0.1987 Y:-0.0098 Z:-0.1054 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.069m/s VN:+0.067 VE:-0.017 VD:+0.046 | Lat:43.515403 Lon:-79.684017 | hAcc:1.329m vAcc:1.959m | HDOP:0.97 VDOP:1.41 PDOP:1.71 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:25:06.770000] Initializing Fix:3D | Accel(m/s²) X:-0.1501 Y:+0.1722 Z:+9.9639  Gyro(°/s) X:-0.1991 Y:+0.0013 Z:-0.0953 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.062m/s VN:+0.057 VE:-0.024 VD:+0.013 | Lat:43.515403 Lon:-79.684020 | hAcc:1.341m vAcc:1.98m | HDOP:0.97 VDOP:1.41 PDOP:1.71 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:25:07.790000] Initializing Fix:3D | Accel(m/s²) X:-0.1503 Y:+0.1739 Z:+9.9642  Gyro(°/s) X:-0.1927 Y:+0.0015 Z:-0.0895 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.014m/s VN:+0.007 VE:+0.012 VD:-0.021 | Lat:43.515403 Lon:-79.684021 | hAcc:1.354m vAcc:2.007m | HDOP:0.97 VDOP:1.41 PDOP:1.71 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:25:08.780000] Initializing Fix:3D | Accel(m/s²) X:-0.1476 Y:+0.1741 Z:+9.9620  Gyro(°/s) X:-0.2049 Y:+0.0004 Z:-0.0877 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.056m/s VN:+0.056 VE:-0.009 VD:-0.024 | Lat:43.515404 Lon:-79.684022 | hAcc:1.367m vAcc:2.031m | HDOP:0.95 VDOP:1.3 PDOP:1.61 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:25:09.770000] Initializing Fix:3D | Accel(m/s²) X:-0.1481 Y:+0.1743 Z:+9.9649  Gyro(°/s) X:-0.1966 Y:-0.0073 Z:-0.1008 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.030m/s VN:-0.009 VE:+0.029 VD:-0.027 | Lat:43.515405 Lon:-79.684022 | hAcc:1.378m vAcc:2.057m | HDOP:0.95 VDOP:1.3 PDOP:1.61 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:25:10.800000] Initializing Fix:3D | Accel(m/s²) X:-0.1428 Y:+0.1640 Z:+9.9579  Gyro(°/s) X:-0.2163 Y:-0.0101 Z:-0.0981 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.015m/s VN:-0.011 VE:+0.010 VD:-0.033 | Lat:43.515408 Lon:-79.684022 | hAcc:1.376m vAcc:2.076m | HDOP:0.88 VDOP:1.39 PDOP:1.65 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:25:11.750000] Initializing Fix:3D | Accel(m/s²) X:-0.1482 Y:+0.1661 Z:+9.9623  Gyro(°/s) X:-0.2073 Y:-0.0039 Z:-0.0875 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.027m/s VN:+0.009 VE:-0.025 VD:-0.036 | Lat:43.515412 Lon:-79.684022 | hAcc:1.375m vAcc:2.095m | HDOP:0.87 VDOP:1.29 PDOP:1.56 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:25:12.780000] Initializing Fix:3D | Accel(m/s²) X:-0.1533 Y:+0.1578 Z:+9.9606  Gyro(°/s) X:-0.1425 Y:+0.0111 Z:-0.0970 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.018m/s VN:+0.003 VE:-0.017 VD:-0.044 | Lat:43.515415 Lon:-79.684022 | hAcc:1.376m vAcc:2.114m | HDOP:0.87 VDOP:1.29 PDOP:1.56 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:25:13.770000] Initializing Fix:3D | Accel(m/s²) X:-0.1451 Y:+0.1725 Z:+9.9663  Gyro(°/s) X:-0.1993 Y:+0.0046 Z:-0.0797 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.034m/s VN:-0.030 VE:+0.016 VD:-0.070 | Lat:43.515415 Lon:-79.684023 | hAcc:1.383m vAcc:2.13m | HDOP:0.9 VDOP:1.2 PDOP:1.51 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:25:14.790000] Initializing Fix:3D | Accel(m/s²) X:-0.1471 Y:+0.1697 Z:+9.9600  Gyro(°/s) X:-0.1894 Y:+0.0116 Z:-0.0856 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.048m/s VN:-0.004 VE:-0.048 VD:-0.075 | Lat:43.515416 Lon:-79.684023 | hAcc:1.385m vAcc:2.143m | HDOP:0.9 VDOP:1.2 PDOP:1.51 | NAV-ATT Roll:+0.00° Pitch:+27.69° Hdg:+54.25°
[20:25:15.780000] Initializing Fix:3D | Accel(m/s²) X:-0.1425 Y:+0.1762 Z:+9.9650  Gyro(°/s) X:-0.2162 Y:-0.0022 Z:-0.0853 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.103m/s VN:-0.097 VE:-0.035 VD:-0.149 | Lat:43.515414 Lon:-79.684026 | hAcc:1.388m vAcc:2.159m | HDOP:1.03 VDOP:1.47 PDOP:1.79 | NAV-ATT Roll:+0.00° Pitch:+39.58° Hdg:+54.25°
[20:25:16.770000] Initializing Fix:3D | Accel(m/s²) X:-0.1414 Y:+0.1723 Z:+9.9651  Gyro(°/s) X:-0.1943 Y:+0.0080 Z:-0.0891 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.070m/s VN:-0.070 VE:+0.009 VD:-0.162 | Lat:43.515415 Lon:-79.684026 | hAcc:1.393m vAcc:2.173m | HDOP:1.03 VDOP:1.42 PDOP:1.75 | NAV-ATT Roll:+0.00° Pitch:+39.58° Hdg:+54.25°
[20:25:17.760000] Initializing Fix:3D | Accel(m/s²) X:-0.1428 Y:+0.1706 Z:+9.9647  Gyro(°/s) X:-0.1987 Y:-0.0008 Z:-0.0983 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.056m/s VN:-0.049 VE:-0.028 VD:-0.191 | Lat:43.515415 Lon:-79.684027 | hAcc:1.399m vAcc:2.185m | HDOP:1.03 VDOP:1.42 PDOP:1.75 | NAV-ATT Roll:+0.00° Pitch:+39.58° Hdg:+54.25°
[20:25:18.780000] Initializing Fix:3D | Accel(m/s²) X:-0.1446 Y:+0.1630 Z:+9.9593  Gyro(°/s) X:-0.1957 Y:-0.0061 Z:-0.0933 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.032m/s VN:+0.031 VE:+0.009 VD:-0.170 | Lat:43.515417 Lon:-79.684027 | hAcc:1.404m vAcc:2.201m | HDOP:0.96 VDOP:1.54 PDOP:1.82 | NAV-ATT Roll:+0.00° Pitch:+39.58° Hdg:+54.25°
[20:25:19.810000] Initializing Fix:3D | Accel(m/s²) X:-0.1444 Y:+0.1706 Z:+9.9635  Gyro(°/s) X:-0.1972 Y:+0.0053 Z:-0.0883 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.054m/s VN:-0.040 VE:-0.036 VD:-0.169 | Lat:43.515419 Lon:-79.684027 | hAcc:1.41m vAcc:2.22m | HDOP:0.96 VDOP:1.54 PDOP:1.82 | NAV-ATT Roll:+0.00° Pitch:+39.58° Hdg:+54.25°
[20:25:20.800000] Initializing Fix:3D | Accel(m/s²) X:-0.1459 Y:+0.1720 Z:+9.9625  Gyro(°/s) X:-0.2136 Y:-0.0099 Z:-0.0995 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.077m/s VN:-0.077 VE:-0.005 VD:-0.154 | Lat:43.515420 Lon:-79.684027 | hAcc:1.409m vAcc:2.234m | HDOP:0.93 VDOP:1.54 PDOP:1.8 | NAV-ATT Roll:+0.00° Pitch:+39.58° Hdg:+54.25°
[20:25:21.790000] Initializing Fix:3D | Accel(m/s²) X:-0.1462 Y:+0.1685 Z:+9.9580  Gyro(°/s) X:-0.1951 Y:-0.0062 Z:-0.0929 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.033m/s VN:-0.032 VE:+0.007 VD:-0.130 | Lat:43.515421 Lon:-79.684027 | hAcc:1.401m vAcc:2.237m | HDOP:0.96 VDOP:1.55 PDOP:1.82 | NAV-ATT Roll:+0.00° Pitch:+39.58° Hdg:+54.25°
[20:25:22.780000] Initializing Fix:3D | Accel(m/s²) X:-0.1415 Y:+0.1715 Z:+9.9623  Gyro(°/s) X:-0.2025 Y:+0.0035 Z:-0.0948 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.011m/s VN:-0.002 VE:-0.010 VD:-0.124 | Lat:43.515423 Lon:-79.684027 | hAcc:1.39m vAcc:2.239m | HDOP:0.93 VDOP:1.54 PDOP:1.8 | NAV-ATT Roll:+0.00° Pitch:+39.58° Hdg:+54.25°
[20:25:23.800000] Initializing Fix:3D | Accel(m/s²) X:-0.1477 Y:+0.1660 Z:+9.9649  Gyro(°/s) X:-0.1906 Y:+0.0053 Z:-0.1037 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.011m/s VN:-0.003 VE:+0.010 VD:-0.113 | Lat:43.515425 Lon:-79.684027 | hAcc:1.38m vAcc:2.242m | HDOP:0.97 VDOP:1.61 PDOP:1.87 | NAV-ATT Roll:+0.00° Pitch:+39.58° Hdg:+54.25°
[20:25:24.790000] Initializing Fix:3D | Accel(m/s²) X:-0.1459 Y:+0.1705 Z:+9.9634  Gyro(°/s) X:-0.2100 Y:+0.0091 Z:-0.0954 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.032m/s VN:+0.013 VE:-0.029 VD:-0.086 | Lat:43.515427 Lon:-79.684026 | hAcc:1.368m vAcc:2.241m | HDOP:0.94 VDOP:1.6 PDOP:1.86 | NAV-ATT Roll:+0.00° Pitch:+39.58° Hdg:+54.25°
[20:25:25.810000] Initializing Fix:3D | Accel(m/s²) X:-0.1457 Y:+0.1687 Z:+9.9612  Gyro(°/s) X:-0.1985 Y:+0.0004 Z:-0.0906 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.053m/s VN:+0.050 VE:-0.015 VD:-0.069 | Lat:43.515428 Lon:-79.684027 | hAcc:1.363m vAcc:2.246m | HDOP:1.0 VDOP:1.61 PDOP:1.89 | NAV-ATT Roll:+0.00° Pitch:+39.58° Hdg:+54.25°
[20:25:26.800000] Initializing Fix:3D | Accel(m/s²) X:-0.1454 Y:+0.1714 Z:+9.9634  Gyro(°/s) X:-0.1889 Y:+0.0051 Z:-0.0933 | Veh(m/s²) X:+0.0000 Y:+0.0000 Z:+0.0000  Hdg:+0.00° | Spd:+0.061m/s VN:+0.058 VE:-0.019 VD:-0.043 | Lat:43.515430 Lon:-79.684027 | hAcc:1.355m vAcc:2.248m | HDOP:0.95 VDOP:1.65 PDOP:1.91 | NAV-ATT Roll:+0.00° Pitch:+39.58° Hdg:+54.25°
